"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Mar 06 05:12:36 UTC 2026","Fri Mar 06 05:12:46 UTC 2026","9715","","tests.producer.ProducerTests","","tests.producer.ProducerTests","testSendMessageWithHeaders","TC-003: Отправка сообщения с custom headers","Verify that messages with custom headers are sent correctly"
"passed","Fri Mar 06 05:15:32 UTC 2026","Fri Mar 06 05:15:33 UTC 2026","1538","","Error Handling Tests","","tests.errorhandling.ErrorHandlingTests","testTopicNotFound","TC-029D: Handle topic not found error","Verify proper error handling for non-existent topics"
"passed","Fri Mar 06 05:11:36 UTC 2026","Fri Mar 06 05:11:56 UTC 2026","19601","","Transaction Tests","","tests.transactions.TransactionsTests","testProducerConsumerTransactionCoordination","TC-047: Координация producer и consumer транзакций","Verify producer-consumer transaction coordination"
"passed","Fri Mar 06 05:10:28 UTC 2026","Fri Mar 06 05:10:38 UTC 2026","9767","","Transaction Tests","","tests.transactions.TransactionsTests","testReadCommittedIsolation","TC-043: Read committed isolation level","Verify consumer only reads committed messages"
"passed","Fri Mar 06 05:10:58 UTC 2026","Fri Mar 06 05:11:07 UTC 2026","9553","","Transaction Tests","","tests.transactions.TransactionsTests","testTransactionRecoveryAfterFailure","TC-048: Восстановление после сбоя транзакции","Verify transaction recovery after failure"
"passed","Fri Mar 06 05:12:05 UTC 2026","Fri Mar 06 05:12:15 UTC 2026","9661","","tests.producer.ProducerTests","","tests.producer.ProducerTests","testProducerCompression","TC-006: Message compression","Verify producer can send compressed messages"
"passed","Fri Mar 06 05:09:59 UTC 2026","Fri Mar 06 05:10:09 UTC 2026","10009","","tests.consumer.ConsumerTests","","tests.consumer.ConsumerTests","testConsumerSessionTimeout","TC-011A: Consumer session timeout and rebalance","Verify consumer handles session timeout correctly"
"passed","Fri Mar 06 05:10:09 UTC 2026","Fri Mar 06 05:10:28 UTC 2026","18982","","Transaction Tests","","tests.transactions.TransactionsTests","testMultiTopicTransaction","TC-045: Транзакции между несколькими топиками","Verify transactions across multiple topics"
"passed","Fri Mar 06 05:17:26 UTC 2026","Fri Mar 06 05:17:36 UTC 2026","9470","","tests.offset.OffsetTests","","tests.offset.OffsetTests","testManualSyncCommit","TC-027: Ручной sync commit после обработки","Verify manual synchronous commit of offsets"
"passed","Fri Mar 06 05:15:15 UTC 2026","Fri Mar 06 05:15:28 UTC 2026","12342","","tests.dlq.DlqTests","","tests.dlq.DlqTests","testRetryFromDlq","TC-032: Retry processing from DLQ","Verify messages can be reprocessed from DLQ"
"passed","Fri Mar 06 05:09:30 UTC 2026","Fri Mar 06 05:09:40 UTC 2026","9670","","tests.consumer.ConsumerTests","","tests.consumer.ConsumerTests","testMaxPollRecords","TC-014: Max poll records limit","Verify consumer respects max.poll.records configuration"
"passed","Fri Mar 06 05:12:15 UTC 2026","Fri Mar 06 05:12:18 UTC 2026","2987","","tests.producer.ProducerTests","","tests.producer.ProducerTests","testSendBatchMessages","TC-002: Массовая отправка сообщений (batch)","Verify that multiple messages can be sent in batch"
"passed","Fri Mar 06 05:14:22 UTC 2026","Fri Mar 06 05:14:33 UTC 2026","10947","","tests.ordering.OrderingTests","","tests.ordering.OrderingTests","testOrderingWithKey","TC-028: Ordering guarantee for keyed messages","Verify strict ordering for messages with same key"
"passed","Fri Mar 06 05:15:28 UTC 2026","Fri Mar 06 05:15:32 UTC 2026","4083","","Error Handling Tests","","tests.errorhandling.ErrorHandlingTests","testNetworkErrorRecovery","TC-029B: Recovery from network errors","Verify system recovers from transient network errors"
"passed","Fri Mar 06 05:12:58 UTC 2026","Fri Mar 06 05:13:08 UTC 2026","9662","","tests.idempotence.IdempotenceTests","","tests.idempotence.IdempotenceTests","testMessageOrderingInPartition","TC-026: Порядок сообщений в partition","Verify message ordering within single partition"
"passed","Fri Mar 06 05:11:58 UTC 2026","Fri Mar 06 05:12:03 UTC 2026","5115","","tests.producer.ProducerTests","","tests.producer.ProducerTests","testProducerRetry","TC-008: Producer automatic retry on transient errors","Verify producer retries failed sends automatically"
"passed","Fri Mar 06 05:15:45 UTC 2026","Fri Mar 06 05:15:48 UTC 2026","2334","","Error Handling Tests","","tests.errorhandling.ErrorHandlingTests","testSerializationError","TC-029: Handle serialization errors","Verify proper error handling when message serialization fails"
"passed","Fri Mar 06 05:12:33 UTC 2026","Fri Mar 06 05:12:36 UTC 2026","2805","","tests.producer.ProducerTests","","tests.producer.ProducerTests","testProducerMetrics","TC-012: Producer metrics collection","Verify producer exposes metrics for monitoring"
"passed","Fri Mar 06 05:16:39 UTC 2026","Fri Mar 06 05:16:49 UTC 2026","10215","","tests.offset.OffsetTests","","tests.offset.OffsetTests","testCommitSpecificOffset","TC-029: Commit определенного offset'а","Verify committing specific offset for a partition"
"passed","Fri Mar 06 05:15:48 UTC 2026","Fri Mar 06 05:15:51 UTC 2026","3121","","Performance Tests","","tests.performance.PerformanceTests","testProducerThroughput","TC-033: Producer throughput benchmark","Measure producer throughput with large message batch"
"passed","Fri Mar 06 05:09:40 UTC 2026","Fri Mar 06 05:09:49 UTC 2026","9574","","tests.consumer.ConsumerTests","","tests.consumer.ConsumerTests","testManualPartitionAssignment","TC-011C: Manual partition assignment","Verify consumer can manually assign specific partitions"
"passed","Fri Mar 06 05:11:56 UTC 2026","Fri Mar 06 05:11:58 UTC 2026","2505","","tests.producer.ProducerTests","","tests.producer.ProducerTests","testProducerTimeout","TC-009: Producer request timeout","Verify producer handles request timeout properly"
"passed","Fri Mar 06 05:13:18 UTC 2026","Fri Mar 06 05:13:29 UTC 2026","10709","","tests.idempotence.IdempotenceTests","","tests.idempotence.IdempotenceTests","testProducerIdRotation","TC-025A: Producer ID and sequence number","Verify producer maintains sequence numbers for idempotence"
"passed","Fri Mar 06 05:13:29 UTC 2026","Fri Mar 06 05:13:38 UTC 2026","9709","","tests.idempotence.IdempotenceTests","","tests.idempotence.IdempotenceTests","testDuplicateDetectionByMessageId","TC-017: Обработка дубликатов через уникальный message ID","Verify duplicate detection using message-id header"
"passed","Fri Mar 06 05:10:48 UTC 2026","Fri Mar 06 05:10:58 UTC 2026","9560","","Transaction Tests","","tests.transactions.TransactionsTests","testExactlyOnceSemantics","TC-044: Exactly-once семантика","Verify exactly-once delivery semantics"
"passed","Fri Mar 06 05:08:00 UTC 2026","Fri Mar 06 05:08:05 UTC 2026","4818","","tests.partitioning.PartitioningTests","","tests.partitioning.PartitioningTests","testPartitionDistribution","TC-020: Распределение по партициям","Verify messages are distributed across partitions"
